config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Standard EKF,48,52617,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,49,27351,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,50,1029,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,51,722,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,50,4436,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,51,3604,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,49,24289,True,0.9759256647719059,0.09157955691091597,True,False,10,Coupled EKF
Coupled EKF,52,11529,True,0.8301242446274166,0.2105293117314011,True,False,10,Coupled EKF
Adaptive EKF,52,10116,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,53,2355,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,32,281742,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,53,9042,True,0.927768903171287,0.14743411858028874,True,False,10,Coupled EKF
Adaptive EKF,47,90092,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,54,19680,True,0.8977914324392114,0.19115932366430763,True,False,10,Coupled EKF
Coupled EKF,55,1040,True,0.7901532286364327,0.21550090066073566,True,False,10,Coupled EKF
Adaptive EKF,54,16973,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,53,30230,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,34,279174,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,56,11365,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,56,41857,True,0.9789691272184564,0.08528096271390917,True,False,10,Coupled EKF
Coupled EKF,57,3455,True,0.6338971861550226,0.2373328882444002,True,False,10,Coupled EKF
Adaptive EKF,57,1172,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,58,1705,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,56,54583,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,57,33086,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,59,1238,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,59,1030,True,0.6966163869959473,0.28370407479801407,True,False,10,Coupled EKF
Adaptive EKF,58,12921,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,55,79354,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,59,14569,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,60,2018,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,61,5836,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,51,120769,True,0.9649899422141636,0.11915719921780066,True,False,10,Coupled EKF
Coupled EKF,61,4044,True,0.6932499536579428,0.23831522703928776,True,False,10,Coupled EKF
Adaptive EKF,61,12857,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,52,141360,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,62,957,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,63,8740,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,63,3030,True,0.6550381580761855,0.2523509235196874,True,False,10,Coupled EKF
Adaptive EKF,63,2045,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,64,7177,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,47,235746,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,64,2951,True,0.865462162760236,0.2070488372157538,True,False,10,Coupled EKF
Adaptive EKF,64,2857,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,65,2981,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,65,1951,True,0.716566826159491,0.2849246689010579,True,False,10,Coupled EKF
Adaptive EKF,65,3470,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,66,1474,True,0.8876356533789221,0.1867273473918135,True,False,10,Coupled EKF
Adaptive EKF,66,1871,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,66,10682,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,67,1906,True,0.7385700615167499,0.23664920860587946,True,False,10,Coupled EKF
Adaptive EKF,67,2366,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,58,103501,True,0.9647953707930468,0.11499746314020051,True,False,10,Coupled EKF
Coupled EKF,68,13125,True,0.9213271344666176,0.15319016336696506,True,False,10,Coupled EKF
Coupled EKF,62,71669,True,0.9863411852493005,0.06769022607124502,True,False,10,Coupled EKF
Standard EKF,69,1472,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,69,787,True,0.6288169128745381,0.26396945709423975,True,False,10,Coupled EKF
Adaptive EKF,69,550,True,1.0,0.0,False,True,10,Adaptive EKF
